warn: LLAMA_ARG_HOST environment variable is set, but will be overwritten by command line argument --host
0.00.327.210 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.466.764 I srv          init: The UI is disabled
0.00.466.768 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.466.908 W srv  llama_server: -----------------
0.00.466.910 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.466.910 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.466.910 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.466.910 W srv  llama_server: -----------------
0.00.468.215 I srv    load_model: loading model '/models/Qwen3.6-27B-A3B-Coder-CD-IQ4_K_M.gguf'
0.02.234.844 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
0.04.708.462 I common_speculative_init_result: creating MTP draft context against the target model '/models/Qwen3.6-27B-A3B-Coder-CD-IQ4_K_M.gguf'
0.04.825.872 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.04.890.826 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.890.874 I srv  llama_server: model loaded
0.04.890.879 I srv  llama_server: listening on http://0.0.0.0:8080
1.39.513.004 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.39.513.063 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.39.846.161 I slot print_timing: id  0 | task 0 | prompt eval time =     333.06 ms /    11 tokens (   30.28 ms per token,    33.03 tokens per second)
1.39.846.166 I slot print_timing: id  0 | task 0 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token, 1000000.00 tokens per second)
1.39.846.166 I slot print_timing: id  0 | task 0 |       total time =     333.06 ms /    12 tokens
1.39.846.169 I slot print_timing: id  0 | task 0 |    graphs reused =          1
1.39.846.216 I slot      release: id  0 | task 0 | stop processing: n_tokens = 11, truncated = 0
1.40.151.505 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 178681623911
1.40.233.295 I slot launch_slot_: id  0 | task 3 | processing task, is_child = 0
1.43.397.866 I slot print_timing: id  0 | task 3 | prompt processing, n_tokens =    955, progress = 1.00, t =   3.16 s / 301.78 tokens per second
1.46.567.621 I slot print_timing: id  0 | task 3 | n_decoded =    119, tg =  39.08 t/s, tg_3s =  39.08 t/s
1.49.591.203 I slot print_timing: id  0 | task 3 | n_decoded =    239, tg =  39.38 t/s, tg_3s =  39.69 t/s
1.52.593.909 I slot print_timing: id  0 | task 3 | n_decoded =    354, tg =  39.02 t/s, tg_3s =  38.30 t/s
1.55.609.723 I slot print_timing: id  0 | task 3 | n_decoded =    479, tg =  39.63 t/s, tg_3s =  41.45 t/s
1.57.998.953 I slot print_timing: id  0 | task 3 | prompt eval time =    3289.00 ms /   959 tokens (    3.43 ms per token,   291.58 tokens per second)
1.57.998.958 I slot print_timing: id  0 | task 3 |        eval time =   14476.58 ms /   576 tokens (   25.13 ms per token,    39.79 tokens per second)
1.57.998.959 I slot print_timing: id  0 | task 3 |       total time =   17765.58 ms /  1535 tokens
1.57.998.960 I slot print_timing: id  0 | task 3 |    graphs reused =        309
1.57.998.962 I slot print_timing: id  0 | task 3 | draft acceptance = 0.84887 (  264 accepted /   311 generated), mean len =  1.85
1.57.999.060 I slot      release: id  0 | task 3 | stop processing: n_tokens = 1534, truncated = 0
1.58.031.536 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.217 (> 0.100 thold), f_keep = 1.000
1.58.031.801 I slot launch_slot_: id  0 | task 319 | processing task, is_child = 0
2.02.959.335 I slot print_timing: id  0 | task 319 | prompt processing, n_tokens =   2050, progress = 0.51, t =   4.93 s / 416.03 tokens per second
2.07.773.435 I slot print_timing: id  0 | task 319 | prompt processing, n_tokens =   4098, progress = 0.80, t =   9.74 s / 420.67 tokens per second
2.10.092.320 I slot print_timing: id  0 | task 319 | prompt processing, n_tokens =   5008, progress = 0.93, t =  12.06 s / 415.24 tokens per second
