warn: LLAMA_ARG_HOST environment variable is set, but will be overwritten by command line argument --host
0.00.362.848 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.498.593 I srv          init: The UI is disabled
0.00.498.596 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.498.745 W srv  llama_server: -----------------
0.00.498.753 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.498.753 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.498.754 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.498.754 W srv  llama_server: -----------------
0.00.500.062 I srv    load_model: loading model '/models/Qwen3.6-27B-A3B-Coder-CD-IQ4_K_M.gguf'
0.01.577.767 W llama_model_loader: tensor overrides to CPU are used with mmap enabled - consider using --no-mmap for better performance
0.04.227.743 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.04.243.278 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.243.332 I srv  llama_server: model loaded
0.04.243.338 I srv  llama_server: listening on http://0.0.0.0:8080
1.14.591.723 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.14.591.782 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.14.975.869 I slot print_timing: id  0 | task 0 | prompt eval time =     384.05 ms /    11 tokens (   34.91 ms per token,    28.64 tokens per second)
1.14.975.876 I slot print_timing: id  0 | task 0 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token, 1000000.00 tokens per second)
1.14.975.877 I slot print_timing: id  0 | task 0 |       total time =     384.05 ms /    12 tokens
1.14.975.881 I slot print_timing: id  0 | task 0 |    graphs reused =          1
1.14.975.927 I slot      release: id  0 | task 0 | stop processing: n_tokens = 11, truncated = 0
1.14.994.366 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 191852952218
1.15.077.262 I slot launch_slot_: id  0 | task 3 | processing task, is_child = 0
1.21.225.177 I slot print_timing: id  0 | task 3 | n_decoded =    103, tg =  34.20 t/s, tg_3s =  34.20 t/s
1.24.230.893 I slot print_timing: id  0 | task 3 | n_decoded =    209, tg =  34.73 t/s, tg_3s =  35.27 t/s
1.27.248.340 I slot print_timing: id  0 | task 3 | n_decoded =    311, tg =  34.42 t/s, tg_3s =  33.80 t/s
1.30.267.367 I slot print_timing: id  0 | task 3 | n_decoded =    416, tg =  34.51 t/s, tg_3s =  34.78 t/s
1.31.413.136 I slot print_timing: id  0 | task 3 | prompt eval time =    3136.36 ms /   959 tokens (    3.27 ms per token,   305.77 tokens per second)
1.31.413.141 I slot print_timing: id  0 | task 3 |        eval time =   13199.49 ms /   456 tokens (   28.95 ms per token,    34.55 tokens per second)
1.31.413.141 I slot print_timing: id  0 | task 3 |       total time =   16335.85 ms /  1415 tokens
1.31.413.142 I slot print_timing: id  0 | task 3 |    graphs reused =        453
1.31.413.233 I slot      release: id  0 | task 3 | stop processing: n_tokens = 1414, truncated = 0
1.31.440.571 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.919 (> 0.100 thold), f_keep = 1.000
1.31.440.844 I slot launch_slot_: id  0 | task 463 | processing task, is_child = 0
1.35.502.014 I slot print_timing: id  0 | task 463 | n_decoded =    104, tg =  34.45 t/s, tg_3s =  34.45 t/s
1.36.771.927 I slot print_timing: id  0 | task 463 | prompt eval time =    1042.55 ms /   124 tokens (    8.41 ms per token,   118.94 tokens per second)
1.36.771.932 I slot print_timing: id  0 | task 463 |        eval time =    4288.50 ms /   148 tokens (   28.98 ms per token,    34.51 tokens per second)
1.36.771.933 I slot print_timing: id  0 | task 463 |       total time =    5331.06 ms /   272 tokens
1.36.771.933 I slot print_timing: id  0 | task 463 |    graphs reused =        599
1.36.772.046 I slot      release: id  0 | task 463 | stop processing: n_tokens = 1685, truncated = 0
1.36.800.583 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.234 (> 0.100 thold), f_keep = 1.000
1.36.800.844 I slot launch_slot_: id  0 | task 614 | processing task, is_child = 0
1.41.509.192 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   2050, progress = 0.52, t =   4.71 s / 435.40 tokens per second
1.46.471.339 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   4098, progress = 0.80, t =   9.67 s / 423.76 tokens per second
1.48.925.313 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   4994, progress = 0.93, t =  12.12 s / 411.90 tokens per second
1.50.154.794 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   5506, progress = 1.00, t =  13.35 s / 412.31 tokens per second
1.53.500.849 I slot print_timing: id  0 | task 614 | n_decoded =    100, tg =  32.30 t/s, tg_3s =  32.30 t/s
1.56.502.972 I slot print_timing: id  0 | task 614 | n_decoded =    200, tg =  32.80 t/s, tg_3s =  33.31 t/s
1.59.509.688 I slot print_timing: id  0 | task 614 | n_decoded =    300, tg =  32.95 t/s, tg_3s =  33.26 t/s
2.02.524.927 I slot print_timing: id  0 | task 614 | n_decoded =    400, tg =  33.00 t/s, tg_3s =  33.16 t/s
2.05.548.249 I slot print_timing: id  0 | task 614 | n_decoded =    497, tg =  32.82 t/s, tg_3s =  32.08 t/s
2.08.575.427 I slot print_timing: id  0 | task 614 | n_decoded =    594, tg =  32.69 t/s, tg_3s =  32.04 t/s
2.11.582.447 I slot print_timing: id  0 | task 614 | n_decoded =    692, tg =  32.68 t/s, tg_3s =  32.59 t/s
2.14.595.708 I slot print_timing: id  0 | task 614 | n_decoded =    792, tg =  32.74 t/s, tg_3s =  33.19 t/s
2.17.621.300 I slot print_timing: id  0 | task 614 | n_decoded =    889, tg =  32.66 t/s, tg_3s =  32.06 t/s
2.20.648.056 I slot print_timing: id  0 | task 614 | n_decoded =    987, tg =  32.64 t/s, tg_3s =  32.38 t/s
2.23.649.408 I slot print_timing: id  0 | task 614 | n_decoded =   1085, tg =  32.64 t/s, tg_3s =  32.65 t/s
2.26.661.261 I slot print_timing: id  0 | task 614 | n_decoded =   1185, tg =  32.68 t/s, tg_3s =  33.20 t/s
2.29.667.949 I slot print_timing: id  0 | task 614 | n_decoded =   1285, tg =  32.73 t/s, tg_3s =  33.26 t/s
2.32.700.238 I slot print_timing: id  0 | task 614 | n_decoded =   1387, tg =  32.79 t/s, tg_3s =  33.64 t/s
2.35.706.266 I slot print_timing: id  0 | task 614 | n_decoded =   1488, tg =  32.85 t/s, tg_3s =  33.60 t/s
2.38.719.178 I slot print_timing: id  0 | task 614 | n_decoded =   1590, tg =  32.91 t/s, tg_3s =  33.85 t/s
2.41.720.521 I slot print_timing: id  0 | task 614 | n_decoded =   1692, tg =  32.97 t/s, tg_3s =  33.98 t/s
2.44.725.265 I slot print_timing: id  0 | task 614 | n_decoded =   1794, tg =  33.03 t/s, tg_3s =  33.95 t/s
2.47.728.163 I slot print_timing: id  0 | task 614 | n_decoded =   1893, tg =  33.02 t/s, tg_3s =  32.97 t/s
2.50.736.352 I slot print_timing: id  0 | task 614 | n_decoded =   1992, tg =  33.02 t/s, tg_3s =  32.91 t/s
2.53.752.924 I slot print_timing: id  0 | task 614 | n_decoded =   2090, tg =  32.99 t/s, tg_3s =  32.49 t/s
2.56.769.584 I slot print_timing: id  0 | task 614 | n_decoded =   2188, tg =  32.97 t/s, tg_3s =  32.49 t/s
2.59.785.800 I slot print_timing: id  0 | task 614 | n_decoded =   2288, tg =  32.98 t/s, tg_3s =  33.15 t/s
3.02.807.609 I slot print_timing: id  0 | task 614 | n_decoded =   2391, tg =  33.02 t/s, tg_3s =  34.09 t/s
3.05.809.666 I slot print_timing: id  0 | task 614 | n_decoded =   2491, tg =  33.03 t/s, tg_3s =  33.31 t/s
3.08.812.476 I slot print_timing: id  0 | task 614 | n_decoded =   2585, tg =  32.97 t/s, tg_3s =  31.30 t/s
3.11.825.440 I slot print_timing: id  0 | task 614 | n_decoded =   2682, tg =  32.94 t/s, tg_3s =  32.19 t/s
3.14.837.152 I slot print_timing: id  0 | task 614 | n_decoded =   2776, tg =  32.88 t/s, tg_3s =  31.21 t/s
3.17.851.586 I slot print_timing: id  0 | task 614 | n_decoded =   2862, tg =  32.73 t/s, tg_3s =  28.53 t/s
3.20.856.197 I slot print_timing: id  0 | task 614 | n_decoded =   2962, tg =  32.75 t/s, tg_3s =  33.28 t/s
3.23.874.458 I slot print_timing: id  0 | task 614 | n_decoded =   3068, tg =  32.82 t/s, tg_3s =  35.12 t/s
3.26.896.615 I slot print_timing: id  0 | task 614 | n_decoded =   3178, tg =  32.94 t/s, tg_3s =  36.40 t/s
3.29.907.642 I slot print_timing: id  0 | task 614 | n_decoded =   3286, tg =  33.02 t/s, tg_3s =  35.87 t/s
3.32.930.351 I slot print_timing: id  0 | task 614 | n_decoded =   3395, tg =  33.11 t/s, tg_3s =  36.06 t/s
3.35.943.604 I slot print_timing: id  0 | task 614 | n_decoded =   3505, tg =  33.21 t/s, tg_3s =  36.51 t/s
